uid	iid	score	label
0	3	0.621475875377655	1.0
0	1215	0.016648052260279655	0.0
0	852	0.04557665064930916	0.0
0	72	0.4994189441204071	0.0
0	216	0.024069391191005707	0.0
0	946	0.07370356470346451	0.0
0	1112	0.16207124292850494	0.0
0	1342	0.03038385510444641	0.0
0	870	0.1663932353258133	0.0
0	820	0.17953482270240784	0.0
0	1013	0.18835510313510895	0.0
0	1074	0.21690887212753296	0.0
0	281	0.21790136396884918	0.0
0	117	0.28651490807533264	0.0
0	936	0.1218540146946907	0.0
0	1253	0.05296874791383743	0.0
0	1077	0.02973839081823826	0.0
0	123	0.3383716940879822	0.0
0	190	0.22420810163021088	0.0
0	1014	0.024656984955072403	0.0
0	447	0.09611452370882034	0.0
0	633	0.4343292713165283	0.0
0	225	0.7995801568031311	0.0
0	458	0.3052070736885071	0.0
0	369	0.018266860395669937	0.0
0	885	0.13295575976371765	0.0
0	1045	0.022176260128617287	0.0
0	99	0.1898726224899292	0.0
0	672	0.3140743672847748	0.0
0	1145	0.021624280139803886	0.0
0	639	0.4389662742614746	0.0
0	1068	0.03030620515346527	0.0
0	740	0.06489963829517365	0.0
0	192	0.04834664240479469	0.0
0	139	0.18135300278663635	0.0
0	801	0.1917611062526703	0.0
0	28	0.6364077925682068	0.0
0	1155	0.03264819085597992	0.0
0	1164	0.021739594638347626	0.0
0	153	0.35566994547843933	0.0
0	681	0.13886307179927826	0.0
0	732	0.16961155831813812	0.0
0	405	0.1895861178636551	0.0
0	957	0.11329227685928345	0.0
0	911	0.33936935663223267	0.0
0	1264	0.019378231838345528	0.0
0	952	0.03952307999134064	0.0
0	1266	0.025671586394309998	0.0
0	1010	0.2422374188899994	0.0
0	1089	0.07301373034715652	0.0
0	935	0.014503122307360172	0.0
0	766	0.11799202114343643	0.0
0	942	0.09273287653923035	0.0
0	129	0.27618512511253357	0.0
0	1190	0.013523152098059654	0.0
0	816	0.22097255289554596	0.0
0	730	0.053626906126737595	0.0
0	359	0.12608680129051208	0.0
0	1226	0.021914608776569366	0.0
0	737	0.13851945102214813	0.0
0	1293	0.009210184216499329	0.0
0	456	0.14755788445472717	0.0
0	1221	0.08967969566583633	0.0
0	1286	0.01881009340286255	0.0
0	1047	0.020977193489670753	0.0
0	1296	0.020201873034238815	0.0
0	770	0.03988964110612869	0.0
0	941	0.021094299852848053	0.0
0	1317	0.01650632545351982	0.0
0	1301	0.013525796122848988	0.0
0	162	0.43247324228286743	0.0
0	243	0.12837514281272888	0.0
0	1225	0.04752359539270401	0.0
0	1056	0.01166207529604435	0.0
0	1146	0.11015743762254715	0.0
0	328	0.09914470463991165	0.0
0	453	0.25810232758522034	0.0
0	1028	0.13969363272190094	0.0
0	932	0.10796884447336197	0.0
0	960	0.02802894078195095	0.0
0	195	0.5175882577896118	0.0
0	873	0.0258797574788332	0.0
0	250	0.3198586702346802	0.0
0	846	0.2704535126686096	0.0
0	1037	0.057601310312747955	0.0
0	848	0.021411286666989326	0.0
0	1324	0.0090179443359375	0.0
0	750	0.10182598233222961	0.0
0	987	0.01964803971350193	0.0
0	275	0.06664979457855225	0.0
0	1069	0.0644717663526535	0.0
0	721	0.04423659294843674	0.0
0	576	0.04040219262242317	0.0
0	370	0.7605051398277283	0.0
0	1235	0.0452873557806015	0.0
0	725	0.07639817148447037	0.0
0	759	0.21190357208251953	0.0
0	1282	0.045491088181734085	0.0
0	589	0.2851669490337372	0.0
0	305	0.49110472202301025	0.0
1	4	0.9847299456596375	1.0
1	1317	0.010883611626923084	0.0
1	990	0.032503414899110794	0.0
1	697	0.023139648139476776	0.0
1	937	0.10395226627588272	0.0
1	1009	0.07969531416893005	0.0
1	770	0.03231646120548248	0.0
1	737	0.1924794316291809	0.0
1	926	0.21974359452724457	0.0
1	64	0.2746613323688507	0.0
1	912	0.14454790949821472	0.0
1	523	0.5853691697120667	0.0
1	717	0.0566600039601326	0.0
1	269	0.3218838572502136	0.0
1	125	0.15026062726974487	0.0
1	1319	0.02200685441493988	0.0
1	1110	0.11336687207221985	0.0
1	890	0.044728439301252365	0.0
1	336	0.380609929561615	0.0
1	400	0.5255714654922485	0.0
1	528	0.04566248133778572	0.0
1	932	0.16395249962806702	0.0
1	473	0.1509752720594406	0.0
1	362	0.2710707485675812	0.0
1	115	0.13314518332481384	0.0
1	566	0.08393482863903046	0.0
1	59	0.03407888486981392	0.0
1	592	0.42925405502319336	0.0
1	1035	0.007334087044000626	0.0
1	83	0.15246421098709106	0.0
1	374	0.03880380466580391	0.0
1	986	0.10398867726325989	0.0
1	910	0.6200621128082275	0.0
1	261	0.28268682956695557	0.0
1	1208	0.03913871571421623	0.0
1	1220	0.03688571974635124	0.0
1	99	0.24349655210971832	0.0
1	366	0.0377400740981102	0.0
1	1251	0.03396128863096237	0.0
1	474	0.2405921220779419	0.0
1	591	0.30081963539123535	0.0
1	249	0.812368631362915	0.0
1	778	0.5468069911003113	0.0
1	517	0.10850171744823456	0.0
1	751	0.4822857975959778	0.0
1	1130	0.02472675032913685	0.0
1	1115	0.11229070276021957	0.0
1	1106	0.013984782621264458	0.0
1	1064	0.021160146221518517	0.0
1	1034	0.006450589746236801	0.0
1	672	0.3492997884750366	0.0
1	1118	0.045618440955877304	0.0
1	572	0.020314855501055717	0.0
1	1241	0.030620764940977097	0.0
1	902	0.12030402570962906	0.0
